web_name,position_name,short_name,price,team_id,ownership,form,minutes,goals_scored,assists,clean_sheets,bonus,ict_index,has_injury_news,is_available,pts_per_90,pts_per_million,gc_per_90,appearance_rate,fixture_ease,avg_opp_strength,fixture_count,team_avg_goals_scored,team_avg_goals_conceded,form_tier,ownership_tier,total_points,predicted_points,value_score,rag_score
João Pedro,FWD,CHE,7.7,7,0.0,1.0,2388,14,9,10,28,198.2,0,True,6.256281407035176,21.55844155844156,0.8668341708542713,0.6982456140350877,2.6666666666666665,3.333333333333333,6,1.65625,1.28125,cold,differential,166,168.08,21.829,66.83
Rodon,DEF,LEE,3.9,11,0.0,1.8,2547,2,0,5,5,88.4,0,True,3.53356890459364,25.64102564102564,0.0706713780918728,0.7447368421052631,3.333333333333333,2.6666666666666665,6,1.21875,1.53125,cold,differential,100,97.2,24.923,66.78
Rogers,MID,AVL,7.4,2,0.0,3.7,2830,8,7,9,13,201.7,0,True,4.547703180212015,19.324324324324323,0.4770318021201413,0.827485380116959,2.833333333333333,3.1666666666666665,6,1.34375,1.1875,average,differential,143,142.69,19.282,66.73
Scott,MID,BOU,5.0,4,0.0,3.8,2488,3,2,9,9,117.7,0,True,4.377009646302251,24.2,0.1808681672025723,0.7274853801169591,2.833333333333333,3.1666666666666665,6,1.5,1.53125,average,differential,121,120.62,24.124,65.82
Bogle,DEF,LEE,4.4,11,0.0,4.2,2583,1,4,6,1,86.8,0,True,3.0662020905923346,20.0,0.1742160278745644,0.7552631578947369,3.333333333333333,2.6666666666666665,6,1.21875,1.53125,hot,differential,88,88.82,20.186,65.38
Alderete,DEF,SUN,4.1,17,0.0,3.0,2443,1,1,9,5,105.4,0,True,4.089234547687269,27.07317073170732,0.0736799017601309,0.7143274853801169,2.833333333333333,3.1666666666666665,6,1.03125,1.125,average,differential,111,110.25,26.89,64.44
Verbruggen,GKP,BHA,4.5,6,0.0,3.5,2970,0,0,8,6,81.7,0,True,3.393939393939394,24.88888888888889,0.0,0.868421052631579,2.833333333333333,3.1666666666666665,6,1.34375,1.15625,average,differential,112,111.4,24.756,63.92
Zubimendi,MID,ARS,5.0,1,0.0,1.0,2672,5,1,15,9,115.5,0,True,4.008233532934131,23.8,0.2020958083832335,0.7812865497076024,3.0,3.0,6,1.9375,0.75,cold,differential,119,119.57,23.914,63.89
Bijol,DEF,LEE,3.9,11,0.0,5.2,1486,1,2,4,5,64.2,0,True,4.602960969044414,19.48717948717949,0.1816958277254374,0.4345029239766081,3.333333333333333,2.6666666666666665,6,1.21875,1.53125,hot,differential,76,75.96,19.477,63.78
Mavropanos,DEF,WHU,4.4,19,0.0,8.0,1992,3,0,4,5,93.0,0,True,4.427710843373494,22.27272727272727,0.1355421686746988,0.5824561403508772,2.6666666666666665,3.333333333333333,6,1.25,1.78125,elite,differential,98,98.21,22.32,63.66
Gibbs-White,MID,NFO,7.4,16,0.0,3.3,2723,9,2,9,11,187.5,0,True,4.461990451707675,18.24324324324324,0.3635695923613661,0.7961988304093567,2.833333333333333,3.1666666666666665,6,1.0,1.375,average,differential,135,134.51,18.177,63.64
Roefs,GKP,SUN,4.8,17,0.0,3.7,2610,0,0,9,12,79.8,0,True,4.172413793103448,25.208333333333336,0.0,0.7631578947368421,2.833333333333333,3.1666666666666665,6,1.03125,1.125,average,differential,121,112.51,23.44,63.51
Dewsbury-Hall,MID,EVE,5.1,9,0.0,4.0,2096,7,5,8,16,134.9,0,True,5.4103053435114505,24.705882352941178,0.5152671755725191,0.6128654970760234,2.6666666666666665,3.333333333333333,6,1.21875,1.15625,average,differential,126,121.64,23.851,63.38
Andersen,DEF,FUL,4.5,10,0.0,3.7,2651,0,1,7,5,98.1,0,True,3.768389287061486,24.666666666666668,0.0339494530365899,0.7751461988304094,2.833333333333333,3.1666666666666665,6,1.34375,1.4375,average,differential,111,108.67,24.149,63.23
Justin,DEF,LEE,3.9,11,0.0,5.0,1443,2,1,5,6,61.9,0,True,4.6777546777546775,19.23076923076923,0.1871101871101871,0.4219298245614035,3.333333333333333,2.6666666666666665,6,1.21875,1.53125,hot,differential,75,75.1,19.256,63.13
Tavernier,MID,BOU,5.4,4,0.0,2.5,2300,6,4,9,10,154.9,0,True,4.578260869565217,21.666666666666664,0.3913043478260869,0.672514619883041,2.833333333333333,3.1666666666666665,6,1.5,1.53125,average,differential,117,118.04,21.859,61.66
Saliba,DEF,ARS,6.1,1,0.0,0.5,2164,1,0,11,9,69.3,0,True,4.491682070240296,17.704918032786885,0.0415896487985212,0.632748538011696,3.0,3.0,6,1.9375,0.75,cold,differential,108,123.06,20.174,61.15
Keane,DEF,EVE,4.5,9,0.0,2.7,2135,3,0,7,8,92.1,0,True,4.97423887587822,26.22222222222222,0.126463700234192,0.6242690058479532,2.6666666666666665,3.333333333333333,6,1.21875,1.15625,average,differential,118,114.27,25.393,60.96
Pickford,GKP,EVE,5.6,9,0.0,2.3,2880,0,0,11,11,76.0,0,True,3.9375,22.5,0.0,0.8421052631578947,2.6666666666666665,3.333333333333333,6,1.21875,1.15625,average,differential,126,126.45,22.58,60.83
Kelleher,GKP,BRE,4.8,5,0.0,5.7,2880,0,0,9,8,74.9,0,True,3.8125,25.416666666666668,0.0,0.8421052631578947,2.5,3.5,6,1.5,1.375,hot,differential,122,111.45,23.219,60.7
Cash,DEF,AVL,4.7,2,0.0,2.3,2532,3,2,8,6,118.6,0,True,3.803317535545024,22.76595744680851,0.1777251184834123,0.7403508771929824,2.833333333333333,3.1666666666666665,6,1.34375,1.1875,average,differential,107,109.19,23.232,60.52
Stach,MID,LEE,4.8,11,0.0,0.8,2135,4,6,6,11,172.3,1,False,5.142857142857143,25.416666666666668,0.4215456674473068,0.6242690058479532,3.333333333333333,2.6666666666666665,6,1.21875,1.53125,cold,differential,122,120.62,25.129,60.19
Collins,DEF,BRE,4.9,5,0.0,5.0,2521,1,2,8,7,113.4,0,True,4.06981356604522,23.26530612244898,0.10710035700119,0.7371345029239766,2.5,3.5,6,1.5,1.375,hot,differential,114,113.38,23.139,59.96
Van de Ven,DEF,TOT,4.4,18,0.0,1.0,2591,4,1,7,10,89.2,0,True,3.473562331146276,22.727272727272727,0.1736781165573137,0.7576023391812865,3.0,3.0,6,1.25,1.59375,cold,differential,100,101.35,23.034,59.52
Szoboszlai,MID,LIV,7.1,12,0.0,2.7,2692,5,3,9,17,205.5,0,True,4.279346210995542,18.028169014084508,0.2674591381872214,0.7871345029239766,2.6666666666666665,3.333333333333333,6,1.625,1.3125,average,differential,128,130.78,18.42,59.36
Lacroix,DEF,CRY,5.1,8,0.0,2.0,2575,1,2,10,8,101.0,1,True,4.613592233009709,25.88235294117647,0.1048543689320388,0.7529239766081871,2.4285714285714284,3.571428571428572,7,1.1290322580645162,1.1612903225806452,cold,differential,132,130.36,25.561,59.36
Gravenberch,MID,LIV,5.5,12,0.0,1.3,2563,4,5,9,14,119.5,0,True,4.389387436597737,22.727272727272727,0.3160358954350371,0.7494152046783625,2.6666666666666665,3.333333333333333,6,1.625,1.3125,cold,differential,125,125.75,22.864,59.34
Ballard,DEF,SUN,4.7,17,0.0,0.0,2004,2,2,6,9,116.9,0,True,5.299401197604791,25.106382978723403,0.1796407185628742,0.5859649122807018,2.833333333333333,3.1666666666666665,6,1.03125,1.125,cold,differential,118,115.31,24.534,59.15
E.Le Fée,MID,SUN,4.9,17,0.0,1.3,2390,4,4,9,8,136.6,0,True,4.179916317991632,22.653061224489797,0.301255230125523,0.6988304093567251,2.833333333333333,3.1666666666666665,6,1.03125,1.125,cold,differential,111,111.58,22.771,59.13
Welbeck,FWD,BHA,6.3,6,0.0,4.0,1965,12,0,8,17,145.3,0,True,5.038167938931298,17.460317460317462,0.549618320610687,0.5745614035087719,2.833333333333333,3.1666666666666665,6,1.34375,1.15625,average,differential,110,109.39,17.363,58.98
Pedro Porro,DEF,TOT,5.1,18,0.0,3.7,2343,1,3,7,4,131.0,0,True,3.572343149807938,18.23529411764706,0.1536491677336747,0.6850877192982456,3.0,3.0,6,1.25,1.59375,average,differential,93,94.16,18.463,58.94
J.Gomes,MID,WOL,5.3,20,0.0,2.0,2471,1,2,4,6,88.4,0,True,3.496560097126669,18.11320754716981,0.1092675030352084,0.7225146198830409,3.1666666666666665,2.833333333333333,6,0.75,1.8125,cold,differential,96,95.22,17.966,58.94
Donnarumma,GKP,MCI,5.6,13,0.0,2.3,2520,0,0,12,3,57.1,0,True,3.9642857142857135,19.821428571428573,0.0,0.7368421052631579,2.857142857142857,3.142857142857143,7,2.032258064516129,0.9032258064516128,average,differential,111,109.95,19.634,58.49
Xhaka,MID,SUN,5.1,17,0.0,3.0,2361,1,5,8,5,115.7,0,True,3.964421855146124,20.3921568627451,0.2287166454891994,0.6903508771929825,2.833333333333333,3.1666666666666665,6,1.03125,1.125,average,differential,104,103.75,20.343,58.41
André,MID,WOL,5.2,20,0.0,4.0,2310,1,0,2,4,65.1,0,True,3.311688311688312,16.346153846153847,0.0389610389610389,0.6754385964912281,3.1666666666666665,2.833333333333333,6,0.75,1.8125,average,differential,85,83.91,16.137,58.4
Leno,GKP,FUL,4.9,10,0.0,4.0,2970,0,0,7,4,67.5,0,True,2.9696969696969697,20.0,0.0,0.868421052631579,2.833333333333333,3.1666666666666665,6,1.34375,1.4375,average,differential,98,97.63,19.924,58.4
Cherki,MID,MCI,6.4,13,0.0,3.3,1372,3,11,7,13,164.0,0,True,7.215743440233236,17.1875,0.9183673469387756,0.4011695906432748,2.857142857142857,3.142857142857143,7,2.032258064516129,0.9032258064516128,average,differential,110,109.49,17.108,58.13
Bruno G.,MID,NEW,6.8,15,0.0,0.3,2047,9,6,6,19,168.3,0,True,5.935515388373229,19.852941176470587,0.6595017098192477,0.5985380116959065,2.6666666666666665,3.333333333333333,6,1.40625,1.46875,cold,differential,135,136.79,20.116,58.1
Konaté,DEF,LIV,5.5,12,0.0,2.0,2570,1,0,10,8,90.2,0,True,4.097276264591439,21.272727272727277,0.0350194552529182,0.7514619883040936,2.6666666666666665,3.333333333333333,6,1.625,1.3125,cold,differential,117,117.94,21.444,57.81
Kayode,DEF,BRE,4.6,5,0.0,5.3,2808,1,2,9,7,106.8,0,True,3.269230769230769,22.17391304347826,0.0961538461538461,0.8210526315789474,2.5,3.5,6,1.5,1.375,hot,differential,102,103.08,22.409,57.79
Petrović,GKP,BOU,4.6,4,0.0,1.2,2970,0,0,9,5,71.9,0,True,3.1818181818181817,22.826086956521745,0.0,0.868421052631579,2.833333333333333,3.1666666666666665,6,1.5,1.53125,cold,differential,105,104.85,22.793,57.61
Cunha,MID,MUN,8.0,14,0.0,4.0,2203,8,4,6,12,167.2,0,True,5.024965955515206,15.375,0.4902405810258738,0.6441520467836257,2.6666666666666665,3.333333333333333,6,1.78125,1.40625,average,differential,123,122.81,15.351,57.53
Milenković,DEF,NFO,5.1,16,0.0,3.7,2880,0,0,8,2,72.4,0,True,3.0625,19.215686274509807,0.0,0.8421052631578947,2.833333333333333,3.1666666666666665,6,1.0,1.375,average,differential,98,97.93,19.202,57.48
Enzo,MID,CHE,6.5,7,0.0,0.8,2622,8,4,8,14,217.7,0,True,4.462242562929062,20.0,0.4118993135011441,0.7666666666666667,2.6666666666666665,3.333333333333333,6,1.65625,1.28125,cold,differential,130,130.16,20.025,57.44
O'Brien,DEF,EVE,4.9,9,0.0,3.3,2636,0,3,10,2,86.0,0,True,3.6191198786039456,21.632653061224488,0.1024279210925644,0.7707602339181286,2.6666666666666665,3.333333333333333,6,1.21875,1.15625,average,differential,106,105.56,21.543,57.34
Ndiaye,MID,EVE,6.2,9,0.0,4.0,2241,6,3,8,7,140.2,0,True,4.578313253012048,18.387096774193548,0.3614457831325301,0.6552631578947369,2.6666666666666665,3.333333333333333,6,1.21875,1.15625,average,differential,114,111.69,18.015,57.16
Wirtz,MID,LIV,8.3,12,0.0,2.7,2070,4,4,10,16,185.6,0,True,4.826086956521739,13.373493975903614,0.3478260869565217,0.6052631578947368,2.6666666666666665,3.333333333333333,6,1.625,1.3125,average,differential,111,129.77,15.635,57.16
Mitchell,DEF,CRY,5.0,8,0.0,2.5,2758,1,2,11,7,112.2,0,True,3.8832487309644663,23.8,0.0978970268310369,0.8064327485380117,2.4285714285714284,3.571428571428572,7,1.1290322580645162,1.1612903225806452,average,differential,119,120.39,24.078,57.02
Thiaw,DEF,NEW,5.1,15,0.0,1.0,2513,4,0,5,12,120.8,0,True,4.190210903302826,22.94117647058824,0.1432550736171906,0.7347953216374269,2.6666666666666665,3.333333333333333,6,1.40625,1.46875,cold,differential,117,116.64,22.871,57.01
Gudmundsson,DEF,LEE,3.8,11,0.0,2.0,2547,0,0,5,8,90.9,0,True,2.3674911660777385,17.63157894736842,0.0,0.7447368421052631,3.333333333333333,2.6666666666666665,6,1.21875,1.53125,cold,differential,67,69.99,18.418,56.84
Gomez,MID,BHA,4.9,6,0.0,3.0,2034,5,1,8,9,115.0,0,True,4.20353982300885,19.387755102040813,0.2654867256637168,0.5947368421052631,2.833333333333333,3.1666666666666665,6,1.34375,1.15625,average,differential,95,97.3,19.857,56.74
Wieffer,MID,BHA,4.9,6,0.0,5.0,1749,2,4,6,6,92.8,0,True,4.631217838765009,18.36734693877551,0.3087478559176672,0.5114035087719299,2.833333333333333,3.1666666666666665,6,1.34375,1.15625,hot,differential,90,88.37,18.035,56.69
Martinez,GKP,AVL,5.1,2,0.0,2.0,2385,0,0,7,10,62.4,0,True,3.962264150943396,20.58823529411765,0.0,0.6973684210526315,2.833333333333333,3.1666666666666665,6,1.34375,1.1875,cold,differential,105,102.67,20.131,56.49
Konsa,DEF,AVL,4.4,2,0.0,2.0,2675,0,1,9,3,77.2,0,True,3.196261682242991,21.59090909090909,0.0336448598130841,0.7821637426900585,2.833333333333333,3.1666666666666665,6,1.34375,1.1875,cold,differential,95,96.24,21.873,56.42
Watkins,FWD,AVL,8.5,2,0.0,3.7,2375,9,2,9,14,153.9,0,True,4.206315789473684,13.058823529411764,0.4168421052631579,0.6944444444444444,2.833333333333333,3.1666666666666665,6,1.34375,1.1875,average,differential,111,112.87,13.279,56.31
Evanilson,FWD,BOU,6.7,4,0.0,3.8,2370,6,6,9,6,137.9,0,True,3.949367088607595,15.522388059701491,0.4556962025316456,0.6929824561403509,2.833333333333333,3.1666666666666665,6,1.5,1.53125,average,differential,104,103.91,15.509,56.22
Ayari,MID,BHA,4.8,6,0.0,2.8,1891,3,4,6,7,83.1,0,True,4.52141723955579,19.791666666666668,0.3331570597567424,0.5529239766081872,2.833333333333333,3.1666666666666665,6,1.34375,1.15625,average,differential,95,95.22,19.838,55.99
F.Kadıoğlu,DEF,BHA,4.4,6,0.0,2.2,2680,0,2,8,4,96.4,0,True,3.123134328358209,21.136363636363637,0.0671641791044776,0.783625730994152,2.833333333333333,3.1666666666666665,6,1.34375,1.15625,average,differential,93,93.74,21.305,55.81
Bassey,DEF,FUL,4.4,10,0.0,3.7,2082,1,1,5,9,69.0,0,True,3.717579250720461,19.545454545454543,0.0864553314121037,0.6087719298245614,2.833333333333333,3.1666666666666665,6,1.34375,1.4375,average,differential,86,86.94,19.759,55.62
Beto,FWD,EVE,5.0,9,0.0,7.7,1269,7,1,5,10,99.6,0,True,5.886524822695035,16.6,0.5673758865248227,0.3710526315789473,2.6666666666666665,3.333333333333333,6,1.21875,1.15625,elite,differential,83,81.95,16.39,55.61
Van den Berg,DEF,BRE,4.6,5,0.0,5.0,2483,0,2,7,3,90.5,0,True,3.588401127668144,21.521739130434785,0.0724929520741039,0.7260233918128655,2.5,3.5,6,1.5,1.375,hot,differential,99,98.25,21.359,55.58
Richards,DEF,CRY,4.4,8,0.0,1.0,2422,1,0,10,5,93.8,0,True,4.310487200660611,26.36363636363636,0.037159372419488,0.708187134502924,2.4285714285714284,3.571428571428572,7,1.1290322580645162,1.1612903225806452,cold,differential,116,115.76,26.309,55.35
Gyökeres,FWD,ARS,8.8,1,0.0,2.5,1978,12,0,10,13,130.4,0,True,4.823053589484328,12.045454545454543,0.5460060667340748,0.5783625730994152,3.0,3.0,6,1.9375,0.75,average,differential,106,106.13,12.06,54.96
Neto,MID,CHE,7.0,7,0.0,1.2,2342,5,5,11,8,164.6,0,True,4.265584970111016,15.857142857142858,0.3842869342442357,0.6847953216374268,2.6666666666666665,3.333333333333333,6,1.65625,1.28125,cold,differential,111,123.11,17.587,54.87
Raúl,FWD,FUL,6.1,10,0.0,2.3,2005,9,5,8,7,146.0,0,True,4.758104738154613,17.37704918032787,0.6284289276807979,0.5862573099415205,2.833333333333333,3.1666666666666665,6,1.34375,1.4375,average,differential,106,101.86,16.698,54.33
Raya,GKP,ARS,6.0,1,0.0,0.5,2880,0,0,15,6,49.4,0,True,4.0625,21.666666666666668,0.0,0.8421052631578947,3.0,3.0,6,1.9375,0.75,cold,differential,130,101.07,16.845,54.25
H.Bueno,DEF,WOL,4.3,20,0.0,0.0,2126,1,2,4,4,121.0,0,True,3.090310442144873,16.976744186046513,0.1269990592662276,0.6216374269005848,3.1666666666666665,2.833333333333333,6,0.75,1.8125,cold,differential,73,82.79,19.253,54.21
Minteh,MID,BHA,5.5,6,0.0,1.5,1998,2,8,8,8,151.0,0,True,4.504504504504505,18.181818181818183,0.4504504504504504,0.5842105263157895,2.833333333333333,3.1666666666666665,6,1.34375,1.15625,cold,differential,100,101.01,18.365,54.11
Kroupi.Jr,FWD,BOU,4.6,4,0.0,3.2,1297,10,0,7,8,109.9,0,True,6.037008481110254,18.91304347826087,0.6939090208172706,0.3792397660818713,2.833333333333333,3.1666666666666665,6,1.5,1.53125,average,differential,87,86.58,18.822,54.11
Sánchez,GKP,CHE,4.8,7,0.0,1.2,2659,0,1,9,7,76.0,0,True,3.553967657013915,21.875,0.0338473110191801,0.7774853801169591,2.6666666666666665,3.333333333333333,6,1.65625,1.28125,cold,differential,105,104.25,21.719,53.95
Digne,DEF,AVL,4.5,2,0.0,3.0,1626,0,5,7,5,87.7,0,True,4.81549815498155,19.33333333333333,0.2767527675276753,0.475438596491228,2.833333333333333,3.1666666666666665,6,1.34375,1.1875,average,differential,87,85.95,19.1,53.87
Dalot,DEF,MUN,4.6,14,0.0,1.0,2294,1,6,6,9,108.0,0,True,3.923278116826504,21.73913043478261,0.2746294681778553,0.6707602339181287,2.6666666666666665,3.333333333333333,6,1.78125,1.40625,cold,differential,100,101.51,22.067,53.33
S.Bueno,DEF,WOL,4.4,20,0.0,1.5,2102,2,2,4,2,73.5,0,True,3.2112274024738348,17.045454545454543,0.1712654614652712,0.6146198830409356,3.1666666666666665,2.833333333333333,6,0.75,1.8125,cold,differential,75,74.66,16.968,53.23
Trossard,MID,ARS,6.5,1,0.0,0.5,1711,5,5,8,9,132.0,0,True,5.260081823495032,15.384615384615383,0.5260081823495032,0.5002923976608187,3.0,3.0,6,1.9375,0.75,cold,differential,100,100.5,15.462,53.15
Gakpo,MID,LIV,7.3,12,0.0,2.7,2234,6,4,10,5,177.3,0,True,4.5120859444941805,15.342465753424658,0.4028648164726947,0.6532163742690058,2.6666666666666665,3.333333333333333,6,1.625,1.3125,average,differential,112,111.21,15.234,53.06
M.Fernandes,MID,WHU,5.5,19,0.0,1.3,2477,3,3,6,6,118.1,0,True,3.960436011303997,19.818181818181817,0.2180056519983851,0.7242690058479532,2.6666666666666665,3.333333333333333,6,1.25,1.78125,cold,differential,109,106.82,19.422,52.99
Richarlison,FWD,TOT,6.3,18,0.0,1.3,1562,9,3,5,13,133.6,0,True,5.4737516005121645,15.07936507936508,0.6914212548015365,0.4567251461988304,3.0,3.0,6,1.25,1.59375,cold,differential,95,94.94,15.07,52.96
Lewis-Potter,DEF,BRE,4.8,5,0.0,4.3,1512,3,2,8,3,79.2,0,True,5.714285714285714,20.0,0.2976190476190476,0.4421052631578947,2.5,3.5,6,1.5,1.375,hot,differential,96,95.24,19.842,52.79
Mbeumo,MID,MUN,8.5,14,0.0,1.3,2256,9,3,5,15,201.1,0,True,4.946808510638298,14.588235294117649,0.4787234042553192,0.6596491228070176,2.6666666666666665,3.333333333333333,6,1.78125,1.40625,cold,differential,124,122.8,14.447,52.71
Berge,MID,FUL,4.9,10,0.0,3.0,2679,0,3,6,3,82.0,0,True,2.821948488241881,17.142857142857142,0.1007838745800672,0.7833333333333333,2.833333333333333,3.1666666666666665,6,1.34375,1.4375,average,differential,84,85.83,17.516,52.71
Henderson,GKP,CRY,5.1,8,0.0,1.0,2700,0,0,10,7,71.6,0,True,3.9,22.94117647058824,0.0,0.7894736842105263,2.4285714285714284,3.571428571428572,7,1.1290322580645162,1.1612903225806452,cold,differential,117,115.54,22.655,52.69
